Name,Belong,Subscribers,Diff,Round
AZKi,0th,"735,000","+1,000",2022-12-25 17:36 (700K)
Gawr Gura,English,"4,270,000",+0,2022-10-08 21:08 (4.2M)
Kobo Kanaeru,Indonesia 3rd,"1,830,000",+0,2023-01-13 18:22 (1.8M)
Sakura Miko,0th,"1,670,000",+0,2022-11-06 13:47 (1.6M)
Tokino Sora,0th,"1,060,000",+0,2022-07-27 13:20 (1M)
Airani Iofifteen,Indonesia 1st,"676,000","+1,000",2022-07-12 09:10 (600K)
IRyS,English Project:HOPE,"912,000","+1,000",2022-11-30 13:14 (900K)
Aki Rosenthal,1st,"731,000",+0,2022-08-19 22:20 (700K)
Ayunda Risu,Indonesia 1st,"792,000","+1,000",2022-07-12 21:40 (700K)
Anya Melfissa,Indonesia 2nd,"602,000","+1,000",2023-02-05 08:40 (600K)
Ouro Kuronii,English Council,"842,000",+0,2022-09-12 23:30 (800K)
Kaela Kovalskia,Indonesia 3rd,"563,000","+2,000",2022-10-16 02:31 (500K)
Kureiji Ollie,Indonesia 2nd,"1,240,000",+0,2022-09-26 03:22 (1.2M)
Ceres Fauna,English Council,"685,000",+0,2022-08-06 11:20 (600K)
Hakos Baelz,English Council,"679,000",+0,2022-08-08 13:07 (600K)
Pavolia Reine,Indonesia 2nd,"735,000",+0,2022-09-17 21:38 (700K)
Vestia Zeta,Indonesia 3rd,"677,000","+2,000",2022-10-17 16:53 (600K)
Moona Hoshinova,Indonesia 1st,"1,260,000",+0,2022-09-14 16:16 (1.2M)
La+ Darknesss,6th,"890,000","+1,000",2022-06-27 18:40 (800K)
Roboco-san,0th,"901,000",+0,2023-01-31 21:03 (900K)
Watson Amelia,English,"1,730,000",+0,2022-08-09 12:29 (1.7M)
Ninomae Inanis,English,"1,500,000",+0,2023-01-10 10:07 (1.5M)
Nanashi Mumei,English Council,"779,000","+1,000",2022-08-04 14:06 (700K)
Shiranui Flare,3rd,"957,000",+0,2022-07-11 00:45 (900K)
Tsukumo Sana,English Council,"401,000",+0,2022-12-24 12:10 (400K)
Usada Pekora,3rd,"2,160,000",+0,2022-11-13 21:35 (2.1M)
Hakui Koyori,6th,"826,000","+1,000",2023-01-06 22:09 (800K)
Natsuiro Matsuri,1st,"1,320,000",+0,2022-10-01 23:43 (1.3M)
Yozora Mel,1st,"801,000","+1,000",2023-02-02 20:40 (800K)
Ookami Mio,Gamers,"1,070,000",+0,2022-06-07 22:50 (1M)
Oozora Subaru,2nd,"1,440,000",+0,2022-10-20 19:39 (1.4M)
Amane Kanata,4th,"1,310,000",+0,2023-01-16 20:38 (1.3M)
Himemori Luna,4th,"889,000",+0,2022-05-14 22:30 (800K)
Houshou Marine,3rd,"2,280,000",+0,2022-11-04 08:40 (2.2M)
Takanashi Kiara,English,"1,450,000",+0,2022-07-15 23:02 (1.4M)
Omaru Polka,5th,"1,060,000",+0,2022-07-31 14:00 (1M)
Tokoyami Towa,4th,"1,200,000",+0,2023-02-01 15:30 (1.2M)
Inugami Korone,Gamers,"1,930,000",+0,2022-11-20 11:19 (1.9M)
Hoshimachi Suisei,0th,"1,760,000","+10,000",2023-01-20 22:33 (1.7M)
Momosuzu Nene,5th,"1,020,000",+0,2022-12-03 19:21 (1M)
Kiryu Coco,4th,"1,420,000",+0,2021-07-06 16:30 (1.4M)
Mori Calliope,English,"2,180,000",+0,2022-07-16 10:00 (2.1M)
Sakamata Chloe,6th,"987,000",+0,2022-08-31 23:48 (900K)
Minato Aqua,2nd,"1,740,000",+0,2022-11-05 18:00 (1.7M)
Uruha Rushia,3rd,"1,460,000",+0,2022-02-25 09:30 (1.6M)
Nekomata Okayu,Gamers,"1,550,000",+0,2022-11-07 21:10 (1.5M)
Shishiro Botan,5th,"1,300,000",+0,2023-02-05 22:40 (1.3M)
Yuzuki Choco,2nd,"941,000",+0,2022-09-03 08:20 (900K)
Shirakami Fubuki,1st,"2,060,000",+0,2022-10-25 21:20 (2M)
Shirogane Noel,3rd,"1,630,000",+0,2022-12-28 20:16 (1.6M)
Nakiri Ayame,2nd,"1,370,000",+0,2022-08-23 00:55 (1.3M)
Murasaki Shion,2nd,"1,080,000",+0,2022-04-10 22:00 (1M)
Tsunomaki Watame,4th,"1,330,000",+0,2022-10-03 00:00 (1.3M)
Akai Haato,1st,"1,410,000",+0,2022-09-13 19:19 (1.4M)
Yukihana Lamy,5th,"1,090,000",+0,2022-05-21 14:50 (1M)
Kazama Iroha,6th,"688,000","+1,000",2022-07-29 22:50 (600K)
Takane Lui,6th,"679,000",+0,2022-09-01 15:10 (600K)
